DATE,XCoord,FLOOD
28/6/2012,689483.0119,No
28/6/2012,690576.6549,No
28/6/2012,691244.6005,No
28/6/2012,691431.1117,No
28/6/2012,693917.4014,No
28/6/2012,693937.605,No
28/6/2012,695178.2121,No
28/6/2012,696642.037,No
28/6/2012,696974.2176,No
28/6/2012,697081.1672,No
28/6/2012,697427.761,No
28/6/2012,697535.3529,No
28/6/2012,697984.9958,No
28/6/2012,698055.3428,No
28/6/2012,698360.207,No
28/6/2012,698508.5554,No
28/6/2012,698635.2407,No
28/6/2012,700274.908,No
28/6/2012,700778.0829,No
28/6/2012,701268.096,No
28/6/2012,701609.9253,No
28/6/2012,701673.1318,No
28/6/2012,704295.4156,No
28/6/2012,704788.1565,No
28/6/2012,705866.7808,No
28/6/2012,691894.1977,Yes
28/6/2012,695761.2421,No
28/6/2012,696410.8659,No
28/6/2012,696556.0278,Yes
28/6/2012,697094.2812,Yes
28/6/2012,697209.5992,Yes
28/6/2012,697297.0534,Yes
28/6/2012,700124.3358,No
28/6/2012,700475.8646,No
28/6/2012,700498.9285,No
28/6/2012,700518.7578,No
28/6/2012,700823.7848,No
28/6/2012,700892.8296,No
28/6/2012,701163.2039,Yes
28/6/2012,724009.8332,No
28/6/2012,725219.2465,No
28/6/2012,726223.719,No
28/6/2012,727111.6079,No
28/6/2012,727174.633,No
28/6/2012,727352.3252,No
28/6/2012,728116.354,No
28/6/2012,728165.8512,No
28/6/2012,728751.6199,No
28/6/2012,728858.3024,No
28/6/2012,728897.6262,No
28/6/2012,730712.6322,No
28/6/2012,730904.8836,No
28/6/2012,731285.9308,No
28/6/2012,731864.0731,No
28/6/2012,732333.4076,No
28/6/2012,732371.1563,No
28/6/2012,732716.2728,No
28/6/2012,733126.5343,No
28/6/2012,733346.9611,No
28/6/2012,734152.1798,No
28/6/2012,735102.6048,No
28/6/2012,735497.7264,No
28/6/2012,735568.7574,No
28/6/2012,736123.4417,No
28/6/2012,736773.2806,No
28/6/2012,736872.825,No
28/6/2012,737231.5531,No
28/6/2012,737293.559,No
28/6/2012,737755.2342,No
28/6/2012,737759.6411,No
28/6/2012,737817.4559,No
28/6/2012,708530.3997,Yes
28/6/2012,708540.4761,Yes
28/6/2012,712349.3046,Yes
28/6/2012,714770.2648,No
28/6/2012,715947.1087,Yes
28/6/2012,716647.8922,No
28/6/2012,717007.1029,No
28/6/2012,717024.7058,No
28/6/2012,720097.3582,No
28/6/2012,721330.6923,No
28/6/2012,671977.1104,No
28/6/2012,679860.4031,No
28/6/2012,681038.3251,No
28/6/2012,687916.3626,Yes
28/6/2012,688753.9807,No
28/6/2012,645372.4797,No
28/6/2012,648064.7158,No
28/6/2012,649431.5731,Yes
28/6/2012,650246.3094,Yes
28/6/2012,652995.3572,Yes
28/6/2012,677503.9403,No
28/6/2012,684501.7644,Yes
28/6/2012,697354.9867,Yes
28/6/2012,702315.3148,No
28/6/2012,704733.2744,Yes
28/6/2012,663012.1965,No
28/6/2012,664331.196,No
28/6/2012,665482.0821,No
28/6/2012,665779.6219,No
28/6/2012,669737.4179,No
28/6/2012,670752.7992,No
28/6/2012,671978.6964,No
28/6/2012,672706.0559,No
28/6/2012,692340.3162,No
28/6/2012,698483.6959,Yes
28/6/2012,698871.8561,No
28/6/2012,657003.5565,No
28/6/2012,664216.8205,No
28/6/2012,664265.8905,Yes
28/6/2012,666279.0412,No
28/6/2012,666561.7274,No
28/6/2012,670346.2661,No
28/6/2012,681603.2078,No
28/6/2012,694530.0707,No
28/6/2012,698602.4754,No
28/6/2012,644301.2503,No
28/6/2012,649329.0219,No
28/6/2012,650768.8619,No
28/6/2012,652976.4754,Yes
28/6/2012,654438.5748,No
