DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,SOIL,MIN,MAX,RANGE,MEAN,LU_DES_TH,LU_DES_EN,BHUMIBOL,B_Drainage_water,B-Accumulated_drainage,SIRIKIT,S_Drainage_water,S-Accumulated_drainage,KHWAENOI,K_Drainage_water,K-Accumulated_drainage,PASAK,P_Drainage_water,P-Accumulated_drainage,RAINFALL,FLOOD
28/6/2012,574813.5142,1641748.984,Suphanburi,Dan Chang,Sandy Loam,10,34,80,46,55.075078,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,575362.3273,1654360.683,Suphanburi,Dan Chang,Sandy Loam,10,77,149,72,117.398313,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,576625.3057,1640535.983,Suphanburi,Dan Chang,Clay Loam,4,21,60,39,38.204723,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,577368.2826,1649466.875,Suphanburi,Dan Chang,Clay Loam,4,56,125,69,78.704319,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,577745.6707,1651573.999,Suphanburi,Dan Chang,Sandy Loam,10,93,107,14,101.296992,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,578356.0616,1646922.97,Suphanburi,Dan Chang,Clay Loam,4,33,121,88,55.315971,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,581710.5829,1643889.388,Suphanburi,Dan Chang,Sandy Loam,10,3,48,45,29.660065,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,582337.8621,1640106.188,Suphanburi,Dan Chang,Loamy Sand,11,-32,48,80,18.737192,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,583146.5556,1641338.394,Suphanburi,Dan Chang,Sandy Clay Loam,6,2,46,44,19.36556,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,586736.4453,1643627.365,Suphanburi,Dan Chang,Sandy Loam,10,4,23,19,12.563066,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,583441.4745,1652519.987,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,6,81,75,37.49855,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,588150.3335,1644524.833,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,3,17,14,9.790958,ไม้ผล,Orchard,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,590707.4228,1647219.603,Suphanburi,Doem Bang Nang Buat,Sandy Loam,10,-14,42,56,7.440281,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
