DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,LEVEL
15/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
15/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
16/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
16/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
16/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
16/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
16/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
16/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
17/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
17/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
17/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
17/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
17/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
17/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
18/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
18/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
18/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
18/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
18/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
18/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
19/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
19/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
19/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
19/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
19/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
19/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
20/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
20/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
20/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
20/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
20/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
20/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
21/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
21/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
21/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
21/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
21/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
21/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
22/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
22/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
22/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
22/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
22/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
22/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
23/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
23/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
23/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
23/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
23/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
23/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
24/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
24/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
24/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
24/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
24/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
24/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
25/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
25/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
25/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
25/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
25/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
25/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
26/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
26/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
26/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
26/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
26/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
26/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
27/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
