PROVINCE,AMPHOE,TEXTURE,SOIL,1/9/2012,2/9/2012,3/9/2012,4/9/2012,5/9/2012,6/9/2012,7/9/2012,SUM,FLOOD
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,0,0.5,0,8.5,23.5,15.5,6.5,54.5,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,0,0.5,0,8.5,23.5,15.5,6.5,54.5,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนปนทรายแป้ง,11,0,0.5,0,8.5,23.5,15.5,6.5,54.5,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนเหนียวปนทรายแป้ง,10,0,0.5,0,8.5,23.5,15.5,6.5,54.5,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,น้ำ,0,0,0.5,0,8.5,23.5,15.5,6.5,54.5,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนเหนียวปนทรายแป้ง,10,0,0.5,0,6,0.5,14.5,1.5,23,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,6,0.5,14.5,1.5,23,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียว,3,0,0.5,0,6,0.5,14.5,1.5,23,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนปนทรายแป้ง,11,0,0.5,0,6,0.5,14.5,1.5,23,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,6,0.5,14.5,1.5,23,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,น้ำ,0,0,0.5,0,6,0.5,14.5,1.5,23,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียว,3,0,0,0.5,1,1,27.5,3,33,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียว,3,0,0,0.5,1,1,27.5,3,33,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0.5,1,1,27.5,3,33,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียวปนทรายแป้ง,8,0,0,0.5,1,1,27.5,3,33,2
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินเหนียว,3,0,0,0,1,0,0.5,7,8.5,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินเหนียว,3,0,0,0,1,0,0.5,7,8.5,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนปนทรายแป้ง,11,0,0,0,1,0,0.5,7,8.5,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0,1,0,0.5,7,8.5,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0,1,0,0.5,7,8.5,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,น้ำ,0,0,0,0,1,0,0.5,7,8.5,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียวปนทรายแป้ง,8,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียวปนทรายแป้ง,8,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,0,1.5,0.5,2,0,30.5,3,37.5,3
