DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE
1/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
1/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
1/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
1/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
1/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
2/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
2/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
2/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
2/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
2/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
3/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
3/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
3/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
3/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
3/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
4/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
4/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
4/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
4/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
4/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
5/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
5/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
5/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
5/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
5/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
6/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
6/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
6/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
6/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
6/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
7/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
7/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
7/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
7/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
7/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
8/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
8/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
8/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
8/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
8/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
9/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
9/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
9/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
9/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
9/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
10/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
10/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
10/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
10/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
10/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
11/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
11/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
11/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
11/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
11/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
12/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
12/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
12/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
12/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
12/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
