DATE,FID,
15/02/2022,2559,
15/02/2022,1491,
15/02/2022,1453,
15/02/2022,1490,
15/02/2022,1485,
15/02/2022,2557,
15/02/2022,1481,
15/02/2022,2540,
15/02/2022,1483,
15/02/2022,1465,
15/02/2022,2560,
15/02/2022,2558,
15/02/2022,1461,
15/02/2022,1459,
15/02/2022,1454,
15/02/2022,1462,
15/02/2022,2545,
15/02/2022,1457,
15/02/2022,2548,
15/02/2022,1482,
15/02/2022,2561,
15/02/2022,1494,
15/02/2022,2542,
15/02/2022,1493,
15/02/2022,2543,
15/02/2022,1467,
15/02/2022,1464,
15/02/2022,1458,
15/02/2022,2549,
15/02/2022,1492,
15/02/2022,2544,
15/02/2022,1456,
15/02/2022,2563,
15/02/2022,1460,
15/02/2022,1468,
15/02/2022,1466,
15/02/2022,1463,
15/02/2022,1451,
15/02/2022,1452,
15/02/2022,2536,
15/02/2022,2537,
15/02/2022,2539,
15/02/2022,2538,
15/02/2022,1520,
15/02/2022,2586,
15/02/2022,2592,
15/02/2022,2589,
15/02/2022,1528,
15/02/2022,1525,
15/02/2022,2585,
15/02/2022,1522,
15/02/2022,1523,
15/02/2022,2587,
15/02/2022,2588,
15/02/2022,1527,
15/02/2022,2590,
15/02/2022,2591,
15/02/2022,1524,
15/02/2022,1526,
15/02/2022,1521,
15/02/2022,2594,
15/02/2022,2595,
15/02/2022,2593,
15/02/2022,2596,
15/02/2022,1529,
15/02/2022,1530,
15/02/2022,2597,
15/02/2022,1506,
15/02/2022,2573,
15/02/2022,1501,
15/02/2022,1511,
15/02/2022,1505,
15/02/2022,2571,
15/02/2022,2567,
15/02/2022,2576,
15/02/2022,2575,
15/02/2022,1509,
15/02/2022,2574,
15/02/2022,1502,
15/02/2022,2572,
